GoogleWeatherLondon40sec0On17-7-2018Burst0Flow0,22,66,1434,837.9553072625698,633.6573764863768,644.4721977879843,415344.41372167476,-0.19615220676313389,-1.9323556156073411,66.0,66.0,155.0,212.0,1434.0,1434.0,1434.0,1434.0,1434.0,179,66,1484,387.7046979865772,405.28669879735145,529.2762843548561,280133.38518048247,1.517925028397148,0.49699425651455353,66.0,66.0,66.0,66.0,96.0,204.4,300.2,387.20000000000016,1484.0,149,66,1484,633.420731707317,608.627974419988,635.050340991442,403288.9355933468,0.4534509296296687,-1.735380028781717,66.0,66.0,66.0,155.0,212.0,392.79999999999984,1434.0,1434.0,1434.0,328
GoogleWeatherLondon40sec0On17-7-2018Burst1Flow0,22,66,1434,839.1468926553672,631.6163299179674,645.1989922989535,416281.73966358503,-0.1990374719735572,-1.931341573804004,66.0,66.0,155.0,212.0,1434.0,1434.0,1434.0,1434.0,1434.0,177,66,1484,398.81159420289856,408.2213820625919,532.1419127817746,283175.0153390458,1.4944083658943663,0.4107841824193268,66.0,66.0,66.0,66.0,152.5,224.60000000000002,279.79999999999995,394.6000000000001,1484.0,138,66,1484,646.2380952380952,611.836432350718,636.2102893714411,404763.5323020928,0.4217504583117338,-1.7667884923844859,66.0,66.0,66.0,157.20000000000002,223.0,427.60000000000014,1434.0,1434.0,1434.0,315
GoogleWeatherLondon40sec0On17-7-2018Burst1Flow1,22,66,1434,372.8,358.3466666666667,484.05610654728275,234310.31428571432,1.7230658887685848,1.6274347836392922,66.0,66.0,78.4,100.80000000000001,151.0,236.40000000000003,297.79999999999995,434.0000000000007,1235.6,15,66,1484,334.57142857142856,310.2448979591836,463.21580189030584,214568.87912087908,2.0807025464996154,3.2548068532313046,66.0,66.0,73.2,97.6,115.5,223.0,269.9,356.20000000000005,1027.900000000001,14,66,1484,354.3448275862069,334.40903686087995,465.9982584165853,217154.37684729064,1.7785120760257098,1.6915278641843012,66.0,66.0,74.0,97.60000000000001,127.0,240.0,291.5999999999999,356.2000000000001,1331.6,29
GoogleWeatherLondon40sec0On17-7-2018Burst2Flow0,22,66,1434,853.4023668639053,627.4199082665173,640.864876177634,410707.78951817413,-0.23573310671254588,-1.9162576114205034,66.0,92.40000000000003,179.5999999999999,212.0,1434.0,1434.0,1434.0,1434.0,1434.0,169,66,1484,402.00694444444446,406.48341049382714,531.4902718228685,282481.90904234664,1.4839227642826178,0.40052105557022566,66.0,66.0,66.0,66.0,136.5,245.79999999999995,312.2,396.00000000000006,1484.0,144,66,1484,645.7316293929713,607.9042145984955,633.5597321142116,401397.93415663147,0.43122007344880847,-1.7531616845859581,66.0,66.0,66.0,155.8,233.0,393.9999999999999,1434.0,1434.0,1434.0,313
GoogleWeatherLondon40sec0On17-7-2018Burst3Flow0,22,66,1434,804.4064171122994,639.6425405359032,650.0162492274131,422521.1242596745,-0.0972516323344507,-1.9661419364089543,66.0,66.0,155.0,212.0,1410.0,1434.0,1434.0,1434.0,1434.0,187,66,1484,378.08,386.3034666666667,517.2415675432813,267538.83919463085,1.6136565879230995,0.8038628162286927,66.0,66.0,66.0,66.0,151.0,200.59999999999997,267.6,364.2,1484.0,150,66,1484,614.646884272997,599.8880680467381,630.5242126011301,397560.7826762752,0.5213836843530777,-1.6718291216993284,66.0,66.0,66.0,155.0,212.0,352.6,1434.0,1434.0,1434.0,337
GoogleWeatherLondon40sec0On17-7-2018Burst4Flow0,22,66,1434,793.6284153005464,642.581265490161,651.5286198509147,424489.5424848376,-0.06375498699761273,-1.9720359286943745,66.0,66.0,155.0,212.0,1341.0,1434.0,1434.0,1434.0,1434.0,183,66,1484,400.59574468085106,401.5448921080429,526.0322909523901,276709.97112462,1.5131315800470344,0.4885249317008995,66.0,66.0,66.0,66.0,171.0,251.0,294.0,389.0,1484.0,141,66,1484,622.5864197530864,599.2780445054108,630.2456265489243,397209.5497840462,0.5032310549500202,-1.6875520447054286,66.0,66.0,66.0,155.0,214.0,347.59999999999985,1434.0,1434.0,1434.0,324
GoogleWeatherLondon40sec0On17-7-2018Burst5Flow0,22,66,1434,838.95,631.6538888888888,643.8238271383418,414509.1203910614,-0.2033558654975886,-1.9302736148235382,66.0,66.0,155.0,212.0,1434.0,1434.0,1434.0,1434.0,1434.0,180,66,1484,369.3987341772152,366.4359077070982,503.189609067543,253199.78267354678,1.6795975847684328,1.0666275288583824,66.0,66.0,66.0,66.0,141.5,212.4,296.29999999999984,363.6,1484.0,158,66,1484,619.4556213017752,596.8259864850671,627.0390922799303,393178.02324723895,0.5089476851344086,-1.6771664259310486,66.0,66.0,66.0,155.0,212.0,357.3999999999999,1434.0,1434.0,1434.0,338
GoogleWeatherLondon40sec0On17-7-2018Burst6Flow0,22,66,1434,843.9655172413793,635.1292112564406,646.9903904062677,418596.5652780547,-0.217683902449483,-1.929376094291981,66.0,66.0,155.0,212.0,1434.0,1434.0,1434.0,1434.0,1434.0,174,66,1484,387.0945945945946,395.05752373995614,520.9109412155458,271348.2086780658,1.5551748300897517,0.6287119361423796,66.0,66.0,66.0,66.0,138.5,224.8,290.7,351.80000000000007,1484.0,148,66,1484,633.9751552795032,607.1557810269666,633.928290315582,401865.07726243685,0.45844813803800827,-1.7324365528305568,66.0,66.0,66.0,155.0,218.0,374.79999999999984,1434.0,1434.0,1434.0,322
GoogleWeatherLondon40sec0On17-7-2018Burst7Flow0,22,66,1434,809.7228260869565,639.2674858223061,649.7307170836425,422150.00472202426,-0.11795580155585626,-1.959669060434087,66.0,66.0,155.0,212.0,1434.0,1434.0,1434.0,1434.0,1434.0,184,66,1484,385.5068493150685,394.2302495777819,521.7053501417791,272176.4723665564,1.5800915009013532,0.6810075123924908,66.0,66.0,66.0,66.0,144.5,217.0,265.5,344.0,1484.0,146,66,1484,622.0393939393939,603.024940312213,631.8997469826314,399297.29023671366,0.49701890651350544,-1.6976734932941933,66.0,66.0,66.0,155.0,212.0,342.4,1434.0,1434.0,1434.0,330
GoogleWeatherLondon40sec0On17-7-2018Burst8Flow0,22,66,1434,790.5573770491803,641.0461345516438,650.0896267351808,422616.52278868674,-0.04976183662328015,-1.9726969427743617,66.0,66.0,155.0,212.0,917.0,1434.0,1434.0,1434.0,1434.0,183,66,1484,398.9357142857143,405.86948979591835,528.704323818773,279528.262024666,1.496075604220959,0.438989735017425,66.0,66.0,66.0,66.0,160.0,235.19999999999987,296.2,440.2000000000001,1484.0,140,66,1484,620.8142414860681,599.4023330042462,630.3296407990363,397315.45606984216,0.5054007381001535,-1.6842361030092179,66.0,66.0,66.0,155.0,212.0,358.1999999999999,1434.0,1434.0,1434.0,323
